...1,2010 CS Code,2010 County Set Name,2010 County Set Description,FIPS State Code,FIPS County Code,2010 County Population,2010 Total CS Population
,"","",Pike,05,109,11291,
,"","","","","",,
77,05CS019,Independence+Jackson+Woodruff,Independence,05,063,36647,61904
,"","",Jackson,05,067,17997,
,"","",Woodruff,05,147,7260,
,"","","","","",,
78,05CS020,Jefferson,Jefferson,05,069,77435,77435
,"","","","","",,
79,05CS021,Little River+Polk+Sevier,Little River,05,081,13171,50891
,"","",Polk,05,113,20662,
,"","",Sevier,05,133,17058,
,"","","","","",,
80,05CS022,Lonoke,Lonoke,05,085,68356,68356
,"","","","","",,
81,05CS023,Mississippi+Poinsett,Mississippi,05,093,46480,71063
,"","",Poinsett,05,111,24583,
,"","","","","",,
82,05CS024,Montgomery+Perry+Scott+Yell,Montgomery,05,097,9487,53350
,"","",Perry,05,105,10445,
,"","",Scott,05,127,11233,
,"","",Yell,05,149,22185,
,"","","","","",,
83,05CS025,Pulaski,Pulaski,05,119,382748,382748
,"","","","","",,
84,05CS026,Saline,Saline,05,125,107118,107118
,"","","","","",,
85,05CS027,Sebastian,Sebastian,05,131,125744,125744
,"","","","","",,
86,05CS028,Sharp and Nearby Counties,Fulton,05,049,12245,78589
,"","",Izard,05,065,13696,
,"","",Lawrence,05,075,17415,
,"","",Randolph,05,121,17969,
,"","",Sharp,05,135,17264,
,"","","","","",,
87,05CS029,Southeast Arkansas,Ashley,05,003,21853,79304
,"","",Chicot,05,017,11800,
,"","",Desha,05,041,13008,
,"","",Drew,05,043,18509,
,"","",Lincoln,05,079,14134,
,"","","","","",,
88,05CS030,Van Buren and Nearby Counties,Cleburne,05,023,25970,72184
,"","",Newton,05,101,8330,
,"","",Searcy,05,129,8195,
,"","",Stone,05,137,12394,
,"","",Van Buren,05,141,17295,
,"","","","","",,
89,05CS031,Washington,Washington,05,143,203065,203065
,"","","","","",,
90,05CS032,White,White,05,145,77076,77076
,"","","","","",,
,"","",California,"","",,37253956
,"","","","","",,
91,06CS001,Alameda,Alameda,06,001,1510271,1510271
,"","","","","",,
92,06CS002,Alpine and Nearby Counties,Alpine,06,003,1175,117592
,"","",Amador,06,005,38091,
,"","",Calaveras,06,009,45578,
,"","",Inyo,06,027,18546,
,"","",Mono,06,051,14202,
,"","","","","",,
93,06CS003,Butte,Butte,06,007,220000,220000
,"","","","","",,
94,06CS004,Colusa+Lake,Colusa,06,011,21419,86084
,"","",Lake,06,033,64665,
,"","","","","",,
95,06CS005,Contra Costa,Contra Costa,06,013,1049025,1049025
,"","","","","",,
96,06CS006,Del Norte+Humboldt+Trinity,Del Norte,06,015,28610,177019
,"","",Humboldt,06,023,134623,
,"","",Trinity,06,105,13786,
,"","","","","",,
97,06CS007,El Dorado,El Dorado,06,017,181058,181058
,"","","","","",,
98,06CS008,Fresno,Fresno,06,019,930450,930450
,"","","","","",,
99,06CS009,Glenn+Tehama,Glenn,06,021,28122,91585
,"","",Tehama,06,103,63463,
,"","","","","",,
100,06CS010,Imperial,Imperial,06,025,174528,174528
,"","","","","",,
101,06CS011,Kern,Kern,06,029,839631,839631
,"","","","","",,
102,06CS012,Kings,Kings,06,031,152982,152982
,"","","","","",,
103,06CS013,Lassen+Plumas+Sierra,Lassen,06,035,34895,58142
,"","",Plumas,06,063,20007,
,"","",Sierra,06,091,3240,
,"","","","","",,
104,06CS014,Los Angeles,Los Angeles,06,037,9818605,9818605
,"","","","","",,
105,06CS015,Madera,Madera,06,039,150865,150865
,"","","","","",,
106,06CS016,Marin,Marin,06,041,252409,252409
,"","","","","",,
107,06CS017,Mariposa+Tuolumne,Mariposa,06,043,18251,73616
,"","",Tuolumne,06,109,55365,
,"","","","","",,
108,06CS018,Mendocino,Mendocino,06,045,87841,87841
,"","","","","",,
109,06CS019,Merced,Merced,06,047,255793,255793
,"","","","","",,
110,06CS020,Modoc+Siskiyou,Modoc,06,049,9686,54586
,"","",Siskiyou,06,093,44900,
,"","","","","",,
111,06CS021,Monterey,Monterey,06,053,415057,415057
,"","","","","",,
112,06CS022,Napa,Napa,06,055,136484,136484
,"","","","","",,
113,06CS023,Nevada,Nevada,06,057,98764,98764
,"","","","","",,
114,06CS024,Orange,Orange,06,059,3010232,3010232
,"","","","","",,
115,06CS025,Placer,Placer,06,061,348432,348432
,"","","","","",,
116,06CS026,Riverside,Riverside,06,065,2189641,2189641
,"","","","","",,
117,06CS027,Sacramento,Sacramento,06,067,1418788,1418788
,"","","","","",,
118,06CS028,San Benito,San Benito,06,069,55269,55269
,"","","","","",,
119,06CS029,San Bernardino,San Bernardino,06,071,2035210,2035210
,"","","","","",,
120,06CS030,San Diego,San Diego,06,073,3095313,3095313
,"","","","","",,
121,06CS031,San Francisco,San Francisco,06,075,805235,805235
,"","","","","",,
122,06CS032,San Joaquin,San Joaquin,06,077,685306,685306
,"","","","","",,
123,06CS033,San Luis Obispo,San Luis Obispo,06,079,269637,269637
,"","","","","",,
124,06CS034,San Mateo,San Mateo,06,081,718451,718451
,"","","","","",,
125,06CS035,Santa Barbara,Santa Barbara,06,083,423895,423895
,"","","","","",,
126,06CS036,Santa Clara,Santa Clara,06,085,1781642,1781642
,"","","","","",,
127,06CS037,Santa Cruz,Santa Cruz,06,087,262382,262382
,"","","","","",,
128,06CS038,Shasta,Shasta,06,089,177223,177223
,"","","","","",,
129,06CS039,Solano,Solano,06,095,413344,413344
,"","","","","",,
130,06CS040,Sonoma,Sonoma,06,097,483878,483878
,"","","","","",,
131,06CS041,Stanislaus,Stanislaus,06,099,514453,514453
,"","","","","",,
132,06CS042,Sutter,Sutter,06,101,94737,94737
,"","","","","",,
133,06CS043,Tulare,Tulare,06,107,442179,442179
,"","","","","",,
134,06CS044,Ventura,Ventura,06,111,823318,823318
,"","","","","",,
135,06CS045,Yolo,Yolo,06,113,200849,200849
,"","","","","",,
136,06CS046,Yuba,Yuba,06,115,72155,72155
,"","","","","",,
,"","",Colorado,"","",,5029196
,"","","","","",,
137,08CS001,Adams,Adams,08,001,441603,441603
,"","","","","",,
138,08CS002,Arapahoe,Arapahoe,08,005,572003,572003
,"","","","","",,
139,08CS003,Boulder,Boulder,08,013,294567,294567
,"","","","","",,
140,08CS004,Broomfield,Broomfield,08,014,55889,55889
,"","","","","",,
